38
-1	291	794	629	851	807	883	974	992	438	1238	1188	904	509	904	1179	1197	1202	1205	902	761	1033	944	1106	999	1011	1528	1340	1060	1206	1794	1338	1715	1742	1499	1853	1625	1858	
291	-1	513	343	565	516	592	684	702	457	948	898	624	484	625	892	910	915	919	661	811	780	719	849	775	792	1254	1084	967	1047	1534	1193	1473	1497	1309	1600	1413	1650	
794	513	-1	175	70	168	183	300	312	883	493	464	372	866	392	504	522	531	536	592	1200	623	679	653	721	748	924	852	1155	1095	1246	1251	1252	1268	1252	1332	1289	1514	
629	343	175	-1	223	201	267	377	394	714	621	579	377	703	390	593	612	619	623	536	1040	605	619	654	669	693	994	877	1041	1022	1302	1178	1280	1299	1218	1380	1280	1512	
851	565	70	223	-1	140	128	239	250	913	424	395	330	890	352	437	455	464	469	564	1220	581	652	604	690	718	858	796	1145	1069	1181	1223	1194	1208	1210	1269	1239	1462	
807	516	168	201	140	-1	78	177	194	809	432	384	207	778	226	393	412	419	423	428	1100	456	515	489	555	582	797	698	1007	932	1110	1087	1101	1118	1085	1191	1125	1353	
883	592	183	267	128	78	-1	119	134	882	357	312	207	848	230	332	351	359	364	452	1166	456	538	478	573	600	747	671	1048	954	1065	1107	1070	1085	1085	1150	1112	1335	
974	684	300	377	239	177	119	-1	19	927	273	216	155	883	178	217	236	243	248	405	1186	376	486	383	511	538	628	559	1017	891	947	1041	955	970	994	1032	1009	1229	
992	702	312	394	250	194	134	19	-1	944	255	198	166	899	188	200	219	227	231	413	1201	378	493	381	516	543	613	551	1026	895	934	1044	945	959	993	1020	1004	1222	
438	457	883	714	913	809	882	927	944	-1	1196	1131	801	88	789	1087	1102	1103	1104	678	355	820	681	897	726	729	1341	1107	636	826	1551	940	1432	1462	1141	1591	1292	1515	
1238	948	493	621	424	432	357	273	255	1196	-1	70	400	1148	416	159	160	169	173	611	1439	526	676	491	683	707	504	560	1214	1037	832	1172	900	905	1060	929	1025	1216	
1188	898	464	579	395	384	312	216	198	1131	70	-1	333	1082	348	99	106	116	121	542	1371	459	608	427	615	639	489	514	1146	973	819	1110	871	879	1007	913	981	1179	
904	624	372	377	330	207	207	155	166	801	400	333	-1	750	24	289	305	307	310	253	1041	252	337	284	368	395	634	501	863	749	930	901	904	923	881	1005	919	1148	
509	484	866	703	890	778	848	883	899	88	1148	1082	750	-1	736	1032	1046	1046	1047	607	339	748	604	825	647	648	1268	1030	555	739	1470	854	1348	1378	1053	1508	1205	1427	
904	625	392	390	352	226	230	178	188	789	416	348	24	736	-1	299	314	316	318	229	1024	231	313	267	344	372	630	488	840	725	921	878	891	911	860	995	901	1130	
1179	892	504	593	437	393	332	217	200	1087	159	99	289	1032	299	-1	20	28	33	466	1309	370	526	332	528	551	424	419	1061	878	750	1014	787	796	909	841	886	1088	
1197	910	522	612	455	412	351	236	219	1102	160	106	305	1046	314	20	-1	12	16	476	1320	375	532	334	533	556	406	409	1066	879	733	1013	773	782	903	825	876	1076	
1202	915	531	619	464	419	359	243	227	1103	169	116	307	1046	316	28	12	-1	6	472	1318	370	528	326	527	550	396	399	1060	871	723	1005	762	771	893	814	865	1065	
1205	919	536	623	469	423	364	248	231	1104	173	121	310	1047	318	33	16	6	-1	472	1319	368	527	324	526	548	391	394	1059	869	718	1002	757	766	889	809	861	1060	
902	661	592	536	564	428	452	405	413	678	611	542	253	607	229	466	476	472	472	-1	851	142	88	220	133	159	663	443	614	505	896	660	815	841	683	951	761	997	
761	811	1200	1040	1220	1100	1166	1186	1201	355	1439	1371	1041	339	1024	1309	1320	1318	1319	851	-1	979	817	1051	844	835	1475	1218	497	775	1623	836	1467	1501	1095	1642	1273	1469	
1033	780	623	605	581	456	456	376	378	820	526	459	252	748	231	370	375	370	368	142	979	-1	165	78	158	181	522	307	691	522	761	668	695	718	630	821	675	908	
944	719	679	619	652	515	538	486	493	681	676	608	337	604	313	526	532	528	527	88	817	165	-1	234	57	77	668	427	540	418	873	573	773	801	605	920	696	932	
1106	849	653	654	604	489	478	383	381	897	491	427	284	825	267	332	334	326	324	220	1051	78	234	-1	215	233	444	236	742	547	688	684	632	654	612	751	637	864	
999	775	721	669	690	555	573	511	516	726	683	615	368	647	344	528	533	527	526	133	844	158	57	215	-1	28	633	384	534	382	825	534	720	748	552	869	639	876	
1011	792	748	693	718	582	600	538	543	729	707	639	395	648	372	551	556	550	548	159	835	181	77	233	28	-1	641	388	512	354	823	507	711	740	529	864	622	858	
1528	1254	924	994	858	797	747	628	613	1341	504	489	634	1268	630	424	406	396	391	663	1475	522	668	444	633	641	-1	265	1100	835	330	921	415	413	709	426	605	752	
1340	1084	852	877	796	698	671	559	551	1107	560	514	501	1030	488	419	409	399	394	443	1218	307	427	236	384	388	265	-1	836	577	455	677	404	423	509	516	467	674	
1060	967	1155	1041	1145	1007	1048	1017	1026	636	1214	1146	863	555	840	1061	1066	1060	1059	614	497	691	540	742	534	512	1100	836	-1	297	1183	339	1006	1040	605	1186	789	975	
1206	1047	1095	1022	1069	932	954	891	895	826	1037	973	749	739	725	878	879	871	869	505	775	522	418	547	382	354	835	577	297	-1	889	157	710	744	324	890	499	701	
1794	1534	1246	1302	1181	1110	1065	947	934	1551	832	819	930	1470	921	750	733	723	718	896	1623	761	873	688	825	823	330	455	1183	889	-1	923	211	183	650	103	480	524	
1338	1193	1251	1178	1223	1087	1107	1041	1044	940	1172	1110	901	854	878	1014	1013	1005	1002	660	836	668	573	684	534	507	921	677	339	157	923	-1	726	759	288	906	478	641	
1715	1473	1252	1280	1194	1101	1070	955	945	1432	900	871	904	1348	891	787	773	762	757	815	1467	695	773	632	720	711	415	404	1006	710	211	726	-1	34	446	181	270	343	
1742	1497	1268	1299	1208	1118	1085	970	959	1462	905	879	923	1378	911	796	782	771	766	841	1501	718	801	654	748	740	413	423	1040	744	183	759	34	-1	479	147	300	355	
1499	1309	1252	1218	1210	1085	1085	994	993	1141	1060	1007	881	1053	860	909	903	893	889	683	1095	630	605	612	552	529	709	509	605	324	650	288	446	479	-1	624	191	378	
1853	1600	1332	1380	1269	1191	1150	1032	1020	1591	929	913	1005	1508	995	841	825	814	809	951	1642	821	920	751	869	864	426	516	1186	890	103	906	181	147	624	-1	441	444	
1625	1413	1289	1280	1239	1125	1112	1009	1004	1292	1025	981	919	1205	901	886	876	865	861	761	1273	675	696	637	639	622	605	467	789	499	480	478	270	300	191	441	-1	237	
1858	1650	1514	1512	1462	1353	1335	1229	1222	1515	1216	1179	1148	1427	1130	1088	1076	1065	1060	997	1469	908	932	864	876	858	752	674	975	701	524	641	343	355	378	444	237	-1	
